review_id,source,text,rating,date
178,YouTube,OF COURSE WE CAN CONFIRM THAT HE NEVER EVER GONNA GIVE US UP..... AND WE WILL NEVER GONNA GIVE HIM UP~,,
179,YouTube,OBLY 347 LIKES AND 200 REPLIES AND EIGHT HOURS AGO??!!!,,
180,YouTube,IT'S 2025 AND YOUTUBE COMMENTED I WAS HERE!!!!!,,
181,YouTube,"@za6789  ok YouTube is late, me and also you. I'm glad we replied to YouTube",,
182,YouTube,AND YOU DIDN'T GIVE US UP WITH YOUR 20 YEARS! HAPPY BIRTHDAY YOUTUBE! 🎉,,
183,YouTube,"Youtube is trying to be funny, but like just add back the dislike button 😭😭",,
184,YouTube,YOUTUBE 1 HOUR AGO IN NEVER GONNA GIVE YOU UP COMMENTS?!?!?!?,,
185,YouTube,chat gpt rick rolled me and led me to this,,
186,YouTube,No way Youtube commented! (14 hours ago with 548 likes),,
187,YouTube,ONLY 152 COMMENTS OMG WHENEVER I SEE YOU IM TO LATE I TOOK MY SPOT 😎,,
188,YouTube,"18h and 177 answer, omg youtube is on fire",,
189,YouTube,wait... YOUTUBE?! 18 HOURS AGO?! ON A 15-YEAR-OLD VIDEO?! THIS IS LEGENDARY!,,
190,YouTube,"@w01kspq  search about it, its not the first time",,
191,YouTube,First Rick in Youtube's comment section and and Youtube in Rick's comment section.,,
192,YouTube,"What a new interaction. new comment, new pin, new heart. Weird",,
193,YouTube,1 DAY AGO edit: 7 months later love youtube I watch it everyday Edit 2: crazy 9 months ago youtube made this comment remember yt is crazy sometimes,,
194,YouTube,HE NEVER GAVE UP HE NEVER LET DOWN,,
195,YouTube,NO WAY RICK ASTLEY LIKED THE YOUTUBE CHANNEL I LOVE YOU ASTLEY,,
196,YouTube,"Hi YouTube, happy belated birthday 🎉 🎂 ❤",,
197,YouTube,After 5 years of this trend it's still alive ❤❤,,
198,YouTube,@YouTube   God dam YouTube manager trolling hard af rn . I am here before 100k likes . Tf bro also got a heart,,
199,YouTube,Rick astley never gave us up never let us down or started deserting us,,
200,YouTube,Imagine a YouTube employee commenting on this video with everyone else getting rickrolled in the office. 💀🗿,,
201,YouTube,WE ALL KNOW U CAME FROM THAT ONE VIDEO LMAO 😂,,
202,YouTube,ain't no way i missed it two days ago,,
203,YouTube,I AM HERE BEFORE IT IS IMPOSSIBLE TO COMMENT,,
204,YouTube,He also didn’t run around or desert us XD (WOW YOUTUBE 3 DAYS AGO!!!),,
205,YouTube,6 HOURS AGO NOW YOURE CONNENTING ON A 15 YEAR OLD VIDEO YOUTUBE,,
206,YouTube,i can tell my friends i replied to youtube =),,
207,YouTube,omg in b4 this hits the reply limit in like a day,,
208,YouTube,"Hey YouTube, please listen. I know this is just random, but have you watched Eurovision?",,
209,YouTube,@Jonncasterlinefriend  i think they DO watch euro vision,,
210,YouTube,Oh good to see you commenting on a popular video.,,
211,YouTube,"Guys its just youtube, your on it everyday 😂",,
212,YouTube,"May YouTube last like Rick Astley for many, many more years 😁😁 Greetings from Peru.",,
213,YouTube,@IvanQuiroga-s5t no they didnt get rickrolled this time sadly,,
214,YouTube,It was a hint to the recap lol,,
215,YouTube,Please let this video have no advertising at the beginning for the smooth rick roll.,,
216,YouTube,YouTube Rick tube me like you did Rick,,
217,YouTube,though giving this video ads is ruining the rickroll experience 😢,,
218,YouTube,I just dropped in and found this?! The sheer timing!,,
219,YouTube,Ain't no way what's YT doing here 😂,,
220,YouTube,WHATT THIS WAS 1 DAY AGO I WAS SO LATE,,
221,YouTube,"Here after the birthday vid, legendary. 😂🤣 Happy 20th anniversary!! 🎉💐🎊",,
222,YouTube,Ответить на комментарий от YouTube - уже редкость,,
223,YouTube,"We also confirm… that Me at the zoo by Jawed was made 20 years ago… Happy Birthday jawed, And Happy Birthday to You too, YouTube!",,
224,YouTube,i bet they did this just for the 20 anniversary event,,
225,YouTube,"same bro, happy birthday bro, it's been 20 years, 3 days, 20 hours and 4 minutes exactly",,
226,YouTube,@YouTube change the url from this video to youtube.com/nevergiveup,,
227,YouTube,WHAT ARE THE ODDS OF FINDING THIS COMMENT ONE DAY AFTER,,
228,YouTube,Holy crap this comment is new! Just one day old!,,
229,YouTube,"Емае, тот самый Ютуб. Спасибо вам за такое классное приложение.",,
230,YouTube,Hey guys remember the time YT got rickrolled by some guy on Twitter?,,
231,YouTube,Youtube got rickrolled edit: and the fact that he noticed it and pined it is impresive,,
232,YouTube,Shut up youtube u aren't funny at all,,
233,YouTube,why are you guys here 2 days ago?,,
234,YouTube,weird coincidence to find you here only 2 days after a comment,,
235,YouTube,𝕹𝖊𝖛𝖊𝖗 𝖌𝖔𝖓𝖓𝖆 𝖌𝖎𝖛𝖊 𝖞𝖔𝖚 𝖚𝖕 𝕹𝖊𝖛𝖊𝖗 𝖌𝖔𝖓𝖓𝖆 𝖑𝖊𝖙 𝖞𝖔𝖚 𝖉𝖔𝖜𝖓 𝕹𝖊𝖛𝖊𝖗 𝖌𝖔𝖓𝖓𝖆 𝖗𝖚𝖓 𝖆𝖗𝖔𝖚𝖓𝖉 𝖆𝖓𝖉 𝖉𝖊𝖘𝖊𝖗𝖙 𝖞𝖔𝖚 𝕹𝖊𝖛𝖊𝖗 𝖌𝖔𝖓𝖓𝖆 𝖒𝖆𝖐𝖊 𝖞𝖔𝖚 𝖈𝖗𝖞 𝕹𝖊𝖛𝖊𝖗 𝖌𝖔𝖓𝖓𝖆 𝖘𝖆𝖞 𝖌𝖔𝖔𝖉𝖇𝖞𝖊 𝕹𝖊𝖛𝖊𝖗 𝖌𝖔𝖓𝖓𝖆 𝖙𝖊𝖑𝖑 𝖆 𝖑𝖎𝖊 𝖆𝖓𝖉 𝖍𝖚𝖗𝖙 𝖞𝖔𝖚,,
236,YouTube,2 days ago with bro it Ben soooo long dis song existed,,
237,YouTube,"Он никогда нас не бросал, но он нас Rikroll",,
238,YouTube,"YOUTUBE NEW COMMENT, PINNED, HEARTED???? The 1 billion view comment is no longer pinned??? Gosh, we're right in the middle of YouTube history here!",,
239,YouTube,What did you just deleted the old comment of ours with over 1 million likes?,,
240,YouTube,Wow 2 days ago😂 I'm faster I guess,,
241,YouTube,Day 1 of asking youtube for free premium.,,
242,YouTube,Can’t confirm the ads on YouTube ruin Rick rolling somebody,,
243,YouTube,"Can confirm, YouTube ads have ruined Rick rolling someone",,
244,YouTube,Nunca fue guey.no triciino su todo fuerte de voz,,
245,YouTube,Hey u all and me got Rick rolled,,
246,YouTube,NAH THE WAY I CHOKED SEEING YOUTUBE COMMENTED ON THIS 15 YEARS AFTER BEING POSTED AND AFTER 3 DAYS ITS HOT 5.9K LIKES AND ALMOST 800 COMMENTS!,,
247,YouTube,i can also confirm that lol but he still rickrolled us,,
248,YouTube,YouTube Channels Logo History  Youtuber has been rickrolled   Peter John Robert Lombardi MrBeast Guava Juice  And me tooo,,
249,YouTube,"YouTube can not give up this song, otherwise 2B users will give up @youtube",,
250,YouTube,"youtube you are SO LATE it is unbelievable, also WHO RUNS YOUR COMMENTS >:[ >:[ ????",,
251,YouTube,YE HE NEVER WILL NEVER HE IS A LEGEND,,
252,YouTube,Hey yt will you do something about bots,,
253,YouTube,"Real, especially since it's been 15 whole years and earlier before youtube was made.",,
254,YouTube,Hi YouTube what's your name my name is Oliver,,
